yyyymm,price,d12,e12,ret,retx,AAA,BAA,lty,ltr,corpr,tbl,Rfree,d/p,d/y,e/p,d/e,b/m,tms,dfy,dfr,infl,eqis,ntis,svar,cay,i/k,csp,pce,vp,impvar,vrp,govik,lzrt,skew,crdstd,ogap,wtexas,accrul,cfacc,sntm,ndrbl,skvw,tail,fbm,dtoy,dtoat,ygap,rdsp,rsvix,gpce,gip,tchi,house,avgcor,shtint,disag
189102,4.9,0.22,0.2983,,,,,,,,,0.00394169808020585,0.044897959183673466,0.045454545454545456,0.06087755102040816,0.7375125712370098,,,,,,,,0.0008054941681799997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189103,4.81,0.22,0.3025,,,,,,,,,0.003329215779289423,0.04573804573804574,0.044897959183673466,0.0628898128898129,0.7272727272727273,,,,,,,,0.00100661346107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189104,4.97,0.22,0.3067,,,,,,,,,0.0035136984000473824,0.044265593561368215,0.04573804573804574,0.061710261569416495,0.7173133355070102,,,,,,,,0.00135693891499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189105,4.95,0.22,0.3108,,,,,,,,,0.0033882502179319704,0.044444444444444446,0.044265593561368215,0.0627878787878788,0.7078507078507078,,,,,,,,0.0019748725754999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189106,4.85,0.22,0.315,,,,,,,,,0.003609629362841522,0.04536082474226805,0.044444444444444446,0.06494845360824743,0.6984126984126984,,,,,,,,0.00099157056344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189107,4.77,0.22,0.3192,,,,,,,,,0.003698181020805343,0.04612159329140462,0.04536082474226805,0.06691823899371069,0.6892230576441103,,,,,,,,0.0007849770098600001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189108,4.93,0.22,0.3233,,,,,,,,,0.003771974069108527,0.04462474645030426,0.04612159329140462,0.06557809330628803,0.6804825239715435,,,,,,,,0.0017710528431600001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189109,5.33,0.22,0.3275,,,,,,,,,0.0038826636415633035,0.04127579737335835,0.04462474645030426,0.06144465290806755,0.6717557251908397,,,,,,,,0.00211040526493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189110,5.33,0.22,0.3317,,,,,,,,,0.003904801556054259,0.04127579737335835,0.04127579737335835,0.062232645403377106,0.6632499246306904,,,,,,,,0.0016616208021099999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189111,5.25,0.22,0.3358,,,,,,,,,0.0037572154594478907,0.0419047619047619,0.04127579737335835,0.06396190476190476,0.6551518761167362,,,,,,,,0.0014091129198699997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189112,5.41,0.22,0.34,,,,,,,,,0.0033734916082713328,0.04066543438077634,0.0419047619047619,0.06284658040665435,0.6470588235294117,,,,,,,,0.00055518218628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189201,5.51,0.2217,0.3425,,,,,,,,,0.0032037675971740096,0.040235934664246825,0.04097966728280961,0.06215970961887478,0.6472992700729927,,,,,,,,0.0015107813068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
